r1_quadratic,r2_mean,r3_median,r4_capped_median,r4_capped_median_no_caps,Project
86094.75069840903,126977.04003239224,110087.01530309644,110320.83993614696,110160.86765082413,Project 148
18462.4288959329,5434.894001701897,5122.663367642801,5133.54389591294,5126.099928396833,Project 149
40736.918015803225,25286.585601344166,25898.092128344797,25953.099631926812,25915.465974843224,Project 150
24853.614345246482,9826.609152756007,9736.980986171988,9757.662317206745,9743.513081747737,Project 151
12452.910643591016,3344.681142230142,935.2468529920021,937.2333157152434,935.8742673660608,Project 152
15050.067814692231,4014.86121473021,3088.0815182863225,3094.6405981728594,3090.153171055471,Project 153
24467.153847008918,9446.89492890133,9682.030604158872,9702.595220675801,9688.525836034492,Project 154
27188.77910052647,12356.365117844121,11996.042284067813,12021.52185745263,12004.089880632038,Project 155
13168.886993776074,3098.1095436734986,2783.160352504742,2789.0717803543703,2785.027447598284,Project 156
8760.086097857104,1615.5825508248013,711.6440517751525,0.0,712.1214612482437,Project 157
10272.974953276902,2939.742999390745,871.8480001583644,0.0,784.1259499102829,Project 158
15551.52740108142,4024.8073594498014,3575.478496060415,3583.072806297817,3577.8771211885182,Project 159
16528.472695834607,5276.796246523427,3029.8338938123575,3036.269255843694,3031.86647091209,Project 160
71444.26887478094,78747.53302810741,83118.46253296456,83295.00600585266,83174.22291106796,Project 161
16893.49875232841,6177.202566616404,3091.457069269172,3098.0233188202483,3093.530986541216,Project 162
36019.857537018775,21067.081830304032,20234.822845629576,20277.80157489837,20248.397463570567,Project 163
20968.64147473384,7922.094047097053,6335.7625839416305,6349.219732881553,6340.012957522757,Project 164
32088.936759088658,15517.339313371125,16447.619262232827,16482.55397753924,16458.653218360192,Project 165
51571.66916377684,40442.31469746866,46307.220616560524,46405.57707429938,46338.28601469,Project 166
7434.6945519058345,1230.000956468623,356.4675864932938,0.0,356.3222652051698,Project 167
14524.212706852924,4299.828029719817,2723.6765368425813,2698.27911407902,2694.3664365054274,Project 168
75413.56912031365,84602.80942566399,92237.58844677237,92433.50092757356,92299.46642971865,Project 169
8733.298943726217,2007.9806192428318,548.9811067776888,0.0,499.7095598074919,Project 170
29291.457478958673,14503.364652121129,11721.465342590142,11746.361715018802,11729.328738032153,Project 171
16716.39938405777,4597.127943580924,4305.012276155881,4314.156114899975,4307.900312158268,Project 172
42721.17834467115,29697.975564725773,28816.43363389637,28877.639689866905,28835.76526234631,Project 173
47114.08464000361,33757.210178206646,32145.973023232313,32214.25101519635,32167.538287502768,Project 174
105693.01639021446,172421.47039540802,200738.77355708377,201165.14237030636,200873.4400267519,Project 175
29693.9745007139,14311.022454402464,13895.417712034216,13924.931555593825,13904.739512773976,Project 176
32888.339672599024,18761.12926767248,16005.739783909103,16039.735947955971,16016.477303287798,Project 177
135291.55203202652,281706.15681255114,291700.8237318468,292320.39578475285,291896.5124841251,Project 178
18708.56054172453,6476.4367126337465,4394.791086812409,4304.692363019607,4298.450283324397,Project 179
32786.09731202918,17371.60752357545,16535.577191888726,16570.698729687956,16546.670154971533,Project 180
11216.055814885607,2333.8881732919385,1636.8572252916342,1640.3339072509568,1637.955318001751,Project 181
44310.64613333844,30681.220984266638,30270.568126822225,30334.862761979668,30290.875267651336,Project 182
49755.21153643928,37082.963027450794,37492.51799056954,37572.15203494024,37517.67000752815,Project 183
87390.17825474215,113267.78341202611,122125.575800002,122384.970315049,122207.50426781987,Project 184
34773.10761281681,18711.83410558952,18515.770268118114,18555.097732639435,18528.19165224341,Project 185
42476.532392714544,26912.49293715813,27515.10644255745,27573.548481789447,27533.56507006375,Project 186
77042.92876156904,89753.69444754942,95788.08960279058,95991.54334200149,95852.349454709,Project 187
11342.297282256572,3043.357241308196,514.7339627551735,0.0,515.0792742480864,Project 188
114138.54123972468,204563.00432792283,181946.25434302358,182332.70787743488,182068.31377034565,Project 189
24517.546591686307,9581.057627218062,9764.374038143602,9785.1135519741,9770.92451046609,Project 190
19357.361368701804,6279.64104462245,5635.651635790734,5647.621750268915,5639.432336930942,Project 191
6043.524083218049,1216.1590751736724,61.00566702658985,0.0,59.4873181001419,Project 192
60380.960721380594,57433.57417992282,55280.207839844836,55397.62290716699,55317.292805048106,Project 193
49453.129194565176,37567.45420479513,38216.001122552094,38297.1718438632,38241.63849128168,Project 194
14680.875156575967,3712.5638638779415,3222.0151871480352,3228.8587419191754,3224.1766898950214,Project 195
7240.842139733004,1167.78321513864,339.83959770409245,0.0,340.06758055994686,Project 196
9959.271887582472,1966.8414647107816,1201.741567620129,1200.5965691539614,1198.855627215616,Project 197
14572.624212411762,5060.284292064688,1371.1678671859195,1374.0802254010339,1372.0877210473548,Project 198
10743.803107821082,2240.9883226761713,1607.4356852065173,1610.849875864797,1608.5140403499183,Project 199
15772.218837612747,4946.459989733746,2683.463381521618,2689.163053174639,2685.2635944733543,Project 200
15696.875492199617,5007.706112107593,2176.8590622520946,2181.48270719362,2178.3194175172184,Project 201
13858.34151551796,4391.9803960074905,1017.0342095133511,1019.1943884425787,1017.71649128732,Project 202
20004.780626839653,8376.506652893484,4258.522018228202,4267.56711174362,4261.378866041092,Project 203
18131.45708219739,5530.280226508125,4858.01762526811,4868.336046432077,4861.276647287563,Project 204
74020.09354839467,82334.81363401793,83015.77154393087,83192.0969013331,83071.46303134256,Project 205
18571.50894003734,6649.0143143505775,3424.0839189659896,3431.356667379434,3426.380980390864,Project 206
20095.990925730366,6631.114051302013,5859.14990306601,5871.594727483317,5863.080538980142,Project 207
71074.4651560103,75601.48994796378,80367.03361659031,80537.73305914509,80420.94818677058,Project 208
14926.723549179442,3799.70043846479,3579.2368667243327,3586.839159734626,3581.6380131715623,Project 209
13901.862536493276,3402.269412965785,3057.6719452910957,3064.1664352963708,3059.7231976674007,Project 210
41743.99497981509,26110.821218407502,26627.699123804556,26684.256311402576,26645.56243029411,Project 211
13835.25042432943,3326.0458725989056,2531.3123825719103,2536.688885762241,2533.010524371562,Project 212
12991.597756130886,3641.915561756226,1054.099695204434,1056.338601162155,1054.8068425189065,Project 213
57466.80765614494,50126.22597727101,56436.28509912663,56556.15567257897,56474.14562373187,Project 214
21548.504562819657,7725.975185877615,7512.361564604871,7528.317807776241,7517.40126467302,Project 215
50300.6903688848,43072.11849985438,42778.09255928155,42750.28549981851,42688.294847158795,Project 216
263134.40260047844,1049755.0731842245,1165444.3691373519,400000.0,1166226.2125052535,Project 217
9936.11772449419,2003.7366313832142,1292.6295109112395,1187.551256647418,1185.8292312479211,Project 218
22256.024976271194,8151.915414435374,7449.785432761235,7465.608764335122,7454.783153362181,Project 219
76296.53266669436,92581.93658181166,75313.61571798915,75473.58170953211,75364.14018103613,Project 220
23396.27703919246,8448.144078107918,8873.80044726553,8892.648384305448,8879.753474463998,Project 221
