project_name,application_id,median_score,adjusted_score,final_score
Aura Finance,0x32a687fa8ed3dc2679b9be5653dc7b0765a5099064501ad183d2d8a1509f4871,7699.4,8397.5,8408.6
TLX,0x6bd6aba90e1e5cb41236bc52a96f5ce65686568ff95fe535c865658c73947198,7554.4,8239.4,8250.3
PRINT3R,0x351158069e6f06eb4a2fa36878e653ecee7089db3ed4a1e2af1d0fdeb6670e6a,7526.0,8208.4,8219.3
Circle.tech,0x46ca6c364e7a7bc7dd79db1f22a66b305a77f8c912636b00a4b9a6b28c423e8f,7310.0,7972.8,7983.3
Pheasant Network,0x2d5167181143298e3d002d318d8b1d2917b8c3205a5634549c95cab0ff32cbdf,6854.9,7476.4,7486.3
Noggles ($NOGS),0xc8aefb795901b721da74124680a1ab4021a8753f474daaf351667c974d8bc72d,6778.2,7392.8,7402.5
Blob Farm,0xdfad16356f7cf4f0550787eae192ef0d7a8bde878b765e8fa302dc7e20ff360c,6624.6,7225.3,7234.8
👑 King of the Degens 🎩 - Farcaster Frame Game,0xded5569a48e46a8b71d2b347d90b0319a7dc8f2f599fcf902afb032877b5561e,6462.9,7048.9,7058.2
Velocimeter/Graphene,0xe8e098fcf95bef2c282b75014bf8ea46231896a4ba19fc17be3bc186d43dbb07,6347.4,6923.0,6932.1
Streameth,0x848488156d9bfc5356583da57253193a258acebcdbc3ba2a10dc8ef81bd815fe,6174.1,6733.9,6742.8
Nogem,0x91b002c41ae45979dda4d66becc0d83fe92a20af00b59c1c5ab443492b896a0b,6171.1,6730.7,6739.6
Harvest Finance,0x41cf185bd4ee6592c65edcb7360e2e56e069fe50ea4adeb7aaee243f7a515c92,6120.9,6675.9,6684.7
Onchain Blobs - Randomly generated onchain blobs minted via a Farcaster frame,0x3ea87586a0d82cb8824a045fdd1a95b0397a02a7534dab5e4b3538afe43ddf39,6056.6,6605.8,6614.5
3DNS,0x08d4923c8047ec8856f54a1d6e0763d41eaced38e621b2f15284437918defe1f,5803.9,6330.1,6338.5
MYSTCL ($MYST),0x640b373ea180a464679db947b03f611766e2fb911206470e3e041ad34c1ad7c2,5769.6,6292.7,6301.0
Slugs,0xc9976099df2ee3d1b71e966f8e80ef907846f36152f2e5957fb31890f18cf76f,5718.8,6237.4,6245.6
DackieNFT,0x44ca2c89a912ec7e3f2a38aaecde63044fcaa3024839eb628081a3bcba9c0490,5684.8,6200.2,6208.4
OmniHub,0xd7a8e115b2b3772d7d5656d7798e349dcdedf2463302c78528c9e9686ab4efe3,5579.1,6085.0,6093.0
Unlonely,0x27eb7d5d11ce5a3cca4358a8a6b2ea65fdac15655fb1d29d2d47908999586ad2,5415.7,5906.8,5914.6
Arcadia Finance,0xdd35cc4641c3c35bee5782fc0442b2a1b88a058ec0a7b90ba32c70347e4e9194,5259.3,5736.2,5743.8
Vesper Finance,0xfa434705204825a48e5f4a8dd34e548cc54988c592c2aaae54faf8da0a139ffd,4689.5,5114.7,5121.4
OptiChads NFT Community,0xad43dc524ae73ce9398d0378c5ba9fa53c3394ac9e90f7b60df7b4a7d028f476,4652.2,5074.0,5080.7
Whale,0x9ee9c906642c79f905691d25a3bac3627b2f709e8bc20883afda1c4f2b76ef7e,4587.5,5003.4,5010.0
QiDao - Mai.Finance,0x797dbac78f23a0c01378b0803063fe70618e7744ca516e5aef1e7ee244fded51,4534.6,4945.8,4952.3
Copin.io,0x8fa98773f72474172c2fe75fb7ad3ae2274edd1bc1635b77dd175259dbfde5bd,4523.8,4934.0,4940.5
Pixotchi,0x43c0bbbedc1c04715c3fb34b9387a0779a0d43092c716c29949e7099429eccdb,4451.2,4854.8,4861.2
Infusion,0xf234dd929b802645332b513bc9ecc47d83ea513fff791f3a9c6788bbd8229db0,4427.1,4828.6,4834.9
Kiwi News,0x5b054742b09f8ce4092a15700ef9781520a6ff2928ba5ee09c78ad4dd8817b85,4399.9,4798.9,4805.2
Clipper DEX,0x702aae08d1f82c410a51fe243bd662d5639543c4706deb3dd2932e5909552afc,4279.6,4667.6,4673.8
The Open X Project,0xc935089f9c7b01bef6ca8deade91e04ffa79f7e6fbe7141d4c30c3a76a855e5d,4148.7,4524.9,4530.9
Crowdmuse,0x46b434953909491a2555ccb9cdaee3417765721a33a302a470b25aa6926cae61,4044.4,4411.1,4416.9
Receipts,0x78aa10e4a035b703753c0b399a608d22520a932ae7b7554f6ed148928a0a016a,4044.1,4410.8,4416.6
Whimsical Euphoria: A White Inflatable Sheep,0x79611ec31e5cee4ed9ca01aa92bb709c045ff0e0bc59ad1c03ca1df50fcb5880,3944.6,4302.3,4307.9
Giveth,0xe434930e189c807b137ff0d8e2fa6a95eaa57dde574143a02ca0d7fb31a40bea,3933.1,4289.8,4295.4
RMRK,0x2b6c413a5b076f917ada28ac44b0995daee75f06678705d1eb75ff5da38bdd3b,3765.2,4106.7,4112.1
Hats Protocol,0x8967594d2978692a35fea137ba640bb42f11cad907ca6b0bd01f3718fc4c7f5b,3745.3,4084.9,4090.2
Portals,0xc13c7f458b87400b3d435c48c9536276073ba4c2038bac2af8d9c40a6a9dcd14,3535.2,3855.8,3860.8
Umbra,0x6c7990e08e4fbbb37b7df628116d66e53a14dcc3328bbf124be3245bca366068,3526.0,3845.7,3850.8
Basic Dog Meme,0xbdca9dd029e6fcfbe269429f1db7a0e7f73334e253995f68146fc88fc17cdb3f,3362.7,3667.6,3672.4
Idle,0x4feb65733264313314056d99958c55902bd2e77139123e73090f46249603ae18,3259.3,3554.9,3559.5
Your Brians,0xe85701181a20c498c1521e35d203247a7ed0a54e496d52119eccc2e28e8cf078,3224.0,3516.3,3521.0
Scry Protocol,0x278442aa60cfdfad09d58112baecb05486dde654b47db21fb3d2274a2639bd47,3199.2,3489.2,3493.8
PAWS Wildlife Room Onchain Vote in a Frame,0xa20b4eaab24516b287792b0d45c2cb890561f2db5910a6b9a2507bb4c8d84455,3116.7,3399.3,3403.8
Bodhi,0xe173916be16955177d6b6380f50cc2e943e906c3e337736b361b5dbe477e7685,3112.9,3395.1,3399.6
HOMES,0x4bb52210fd390559dc9757138ea8ce189d7bd73f15314209775a9c6fecb969fa,3053.6,3330.5,3334.9
zkBob smart contract privacy wallet,0x61d2e05f988e678b240a7f00c5f722a5a69f06f085f4ff33199e835a46949469,2936.1,3202.3,3206.5
