majoritarian_moving_phantoms,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
55381.00359975772,55518.49588558346,57231.412883403376,54516.18138266906,54516.18138266906,Project 211
48661.42214535269,51721.174424970566,51464.12857825053,47351.10426478994,47351.10426478994,Project 212
64552.421678808016,59607.00502716137,64166.76303029886,67838.76611974057,67838.76611974057,Project 213
30081.246037584482,37879.817747377616,28815.237550802347,23246.522794469765,23246.522794469765,Project 214
45282.20675870554,50014.67015389153,46821.915217193105,48237.824199282535,48237.824199282535,Project 215
34767.47026532598,42480.35002062369,37018.3915769068,34599.2768794742,34599.2768794742,Project 216
34459.63287737705,42400.95393098037,36141.134672123575,32536.203187862615,32536.203187862615,Project 217
44112.22647757088,49548.43684627359,45978.718756059825,46797.054528287386,46797.054528287386,Project 218
28657.36637536119,37439.69167839103,30148.863998953366,23792.819331301784,23792.819331301784,Project 219
33283.40473151516,39123.641023957854,31517.78795820548,27097.47209333962,27097.47209333962,Project 220
30380.639106540246,37688.80705651597,29240.084949908785,28923.588899553743,28923.588899553743,Project 221
136181.65070601075,87275.45274853421,135378.62051978963,149987.14419920847,149987.14419920847,Project 222
97916.91532099755,74898.65441335436,100259.06214486489,109800.07397495562,109800.07397495562,Project 223
53098.32673325266,53498.41979836242,52954.456653037414,54422.277815036,54422.277815036,Project 224
61300.5540160437,58660.95916234473,62570.30040348571,66263.64374124349,66263.64374124349,Project 225
24053.962339423455,33805.63462882705,25590.474212316152,20646.53104999307,20646.53104999307,Project 226
112961.98411361633,80106.15424523153,114410.22980259244,126987.61081906325,126987.61081906325,Project 227
61188.94440265467,58086.93563991613,61627.64117306483,62422.05826683423,62422.05826683423,Project 228
110676.84465898677,78942.48467256622,111107.92006974257,121045.42106994885,121045.42106994885,Project 229
68703.88615364717,61221.43852664345,67913.93041703508,70104.77122910692,70104.77122910692,Project 230
25424.981849881064,34966.07593865328,26383.25539165277,22559.825979109864,22559.825979109864,Project 231
90143.09699722487,72278.23213724747,94253.88753028034,97379.72226412674,97379.72226412674,Project 232
96335.44555157615,73488.89295370893,96726.25596534487,105630.86082313619,105630.86082313619,Project 233
