majoritarian_moving_phantoms,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
47563.75078714953,50415.62905086008,47177.959386975184,50464.67745018408,50464.67745018408,Project 160
53813.15176825722,53822.320361227,53622.66282403126,54787.13422692286,54787.13422692286,Project 161
72079.05087240266,63140.93176297417,72674.42759490828,76291.22210927159,76291.22210927159,Project 162
146368.64921626658,90494.44585200398,146285.22362275355,166189.09586556908,166189.09586556908,Project 163
31324.3593645214,38508.981237527165,30310.111284107716,27927.55433437084,27927.55433437084,Project 164
30788.126366938544,37809.61117933252,29092.595694074163,23488.112574879175,23488.112574879175,Project 165
33031.07178324767,41735.283993699,35207.82979461166,28371.298895149357,28371.298895149357,Project 166
32834.926097184354,40842.04603017688,34185.752298591935,29765.084873294843,29765.084873294843,Project 167
32747.33364907552,38786.15509457212,32037.460698239312,27247.820856675447,27247.820856675447,Project 168
33645.5092050963,40814.05036670536,33147.355910803424,30672.108420946144,30672.108420946144,Project 169
97077.09112773053,72887.53195508066,95898.94657589379,102889.53652509111,102889.53652509111,Project 170
51833.093780181356,53228.82742519706,52314.71593873419,52131.27534896046,52131.27534896046,Project 171
28550.57254141436,38771.35716503051,30663.64800717733,26065.56723662547,26065.56723662547,Project 172
27562.530316184268,34951.31074830704,26709.455945346963,23250.04244991306,23250.04244991306,Project 173
60462.872838215306,55980.40962822373,57580.374330731625,59034.950660165276,59034.950660165276,Project 174
29026.221875782307,37389.75431652059,28932.46170711544,23082.204583503546,23082.204583503546,Project 175
59460.70731907438,56194.12008922544,58703.33039611574,58793.446963177084,58793.446963177084,Project 176
33549.8800944129,40657.32420446815,34137.573234480005,30278.16446877975,30278.16446877975,Project 177
29022.129106767017,39076.242478547676,30510.271649728267,26683.08909278059,26683.08909278059,Project 178
86841.71120044772,68495.64169065193,84770.24609814865,92615.19338858066,92615.19338858066,Project 179
87934.6223713492,68123.72211304119,83887.58187977156,89820.5612489865,89820.5612489865,Project 180
29694.611911635806,39569.516499444144,32248.26310683054,26177.2891274025,26177.2891274025,Project 181
24994.82588874331,34775.008179988814,26240.754765466867,23254.24819205398,23254.24819205398,Project 182
